Velocidade_Vento,Umidade_Ar,Temperatura,Min_Temperatura,Max_Temperatura,Vai_Chover
5,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
6,70,25,20,30,0
10,60,28,22,32,1
2,80,22,18,26,0
8,75,30,25,35,1
3,65,24,19,28,0
6,72,26,21,31,1
9,68,29,23,34,1
4,78,23,17,27,0
7,73,27,22,32,1
5,65,24,19,28,1
8,68,29,23,34,1
3,78,23,17,27,0
7,73,27,22,32,1
